## RECSRecommendations Upload File,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.destinationCode,entity.sourceCode,entity.currency,entity.language,entity.sku,entity.date,entity.custom9,entity.custom10
30011,Paris,NonKSA,"When in doubt, go to Paris",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Paris.jpg,600,https://www.riyadhair.com/en/discover-riyadh,600,10.25,RUH,CDG,USD,en,CDG-RUH-11,18-09-2024,,
30012,Tokyo,NonKSA,Doing this sweet thing called exploring Tokyo,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Tokyo.jpg,700,https://www.riyadhair.com/en/discover-riyadh,600,5.25,RUH,HND,USD,en,HND-RUH-55,25-09-2024,,
30013,باريس,DestinationKSA,"عندما تكون في شك ، اذهب إلى باريس",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Paris.jpg,600,https://www.riyadhair.com/en/discover-riyadh,600,10.25,CDG,RUH,USD,ar,RUH-CDG-11,18-09-2024,,
30014,نيويورك,DestinationKSA,متعة وأنشطة لا نهاية لها تنتظرك في نيويورك,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/New%20York.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,5.25,NY,RUH,USD,ar,RUH-NY-11,25-09-2024,,
30015,طوكيو,DestinationKSA,القيام بهذا الشيء الجميل يسمى استكشاف طوكيو,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Tokyo.jpg,700,https://www.riyadhair.com/en/discover-riyadh,600,6.5,HND,RUH,USD,ar,RUH-HND-11,22-09-2024,,
30016,جدة,DestinationKSA,اكتشاف جدة,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Jeddah.jpg,900,https://www.riyadhair.com/en/discover-riyadh,600,20.55,JED,RUH,USD,ar,RUH-JED-11,26-11-2024,,
30017,دبي,DestinationKSA,"الذهاب إلى دبي ، لن أعود أبدا",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dubai.jpg,300,https://www.riyadhair.com/en/discover-riyadh,600,10.25,UAE,RUH,USD,ar,RUH-UAE-11,18-09-2024,,
30018,مسقط,DestinationKSA,كرم الضيافة والتاريخ القديم,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Muscat.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,5.25,MCT,RUH,USD,ar,RUH-MCT-11,25-09-2024,,
30019,الرياض,NonKSA, قلعة قديمة ترمز إلى توحيد المملكة العربية السعودية ,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Riyadh.jpg,800,https://www.riyadhair.com/en/discover-riyadh,600,10.25,RUH,NY,USD,ar,NY-RUH-11,18-09-2024,,
30020,دبي,NonKSA,"الذهاب إلى دبي ، لن أعود أبدا",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dubai.jpg,300,https://www.riyadhair.com/en/discover-riyadh,600,5.25,RUH,UAE,USD,ar,UAE-RUH-55,25-09-2024,,
30021,مسقط,NonKSA,كرم الضيافة والتاريخ القديم,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Muscat.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,6.5,RUH,MCT,USD,ar,MCT-RUH-66,22-09-2024,,
30022,لندن,NonKSA,تجربة نابضة بالحياة في قلب لندن,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/London.jpg,550,https://www.riyadhair.com/en/discover-riyadh,600,20.55,RUH,LHR,USD,ar,LHR-RUH-22,26-11-2024,,
30023,باريس,NonKSA,"عندما تكون في شك ، اذهب إلى باريس",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Paris.jpg,600,https://www.riyadhair.com/en/discover-riyadh,600,10.25,RUH,CDG,USD,ar,CDG-RUH-11,18-09-2024,,
30024,طوكيو,NonKSA,القيام بهذا الشيء الجميل يسمى استكشاف طوكيو,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Tokyo.jpg,700,https://www.riyadhair.com/en/discover-riyadh,600,5.25,RUH,HND,USD,ar,HND-RUH-55,25-09-2024,,
